source,target,tgt_lng
"variation","变阵","zh-CN"
"variant","变阵","zh-CN"
"Augment","强化符文","zh-CN"
"Power-up","强化果实","zh-CN"
"Comp","阵容","zh-CN"
"Composition","阵容","zh-CN"
"Early Game","前期","zh-CN"
"Mid Game","中期","zh-CN"
"Late Game","后期","zh-CN"
"Slow Roll","慢D牌","zh-CN"
"Fast Roll","快速D牌","zh-CN"
"Level Up","升级","zh-CN"
"Health","生命值","zh-CN"
"Physical Defense","护甲","zh-CN"
"Magic Defense","魔法抗性","zh-CN"
"Damage Reduction","伤害减免","zh-CN"
"Completed Item","合成装备","zh-CN"
"Component","散件","zh-CN"
"Emblem","纹章","zh-CN"
"Gold","金币","zh-CN"
"Economy","经济","zh-CN"
"Tank","坦克","zh-CN"
"Fighter","战士","zh-CN"
"Caster","术师","zh-CN"
"Assassin","刺客","zh-CN"
"Marksman","射手","zh-CN"
"Specialist","专家","zh-CN"
"AFK","开摆","zh-CN"
"Japanese","中文","zh-CN"
"Lifelong Bronze","终身黄铜","zh-CN"
"Triumvirate","三项赛","zh-CN"
"Slayer","裁决战士","zh-CN"
"Artillery Barrage","大炮火力网","zh-CN"
"Chaos Magic","混沌魔法","zh-CN"
"Bandle Bounty I","班德尔奖金 I","zh-CN"
"Slayer Crown","裁决战士之冕","zh-CN"
"Ionia Crown","艾欧尼亚之冕","zh-CN"
"The Darkin Scythe","暗裔之镰","zh-CN"
"Bilgewater Crown","比尔吉沃特之冕","zh-CN"
"Climb the Mountain","攀登巨峰","zh-CN"
"Defender Circlet","护卫之环","zh-CN"
"Unsealed From Steel","解封魔武","zh-CN"
"Zaun Circlet","祖安之环","zh-CN"
"Guile","诺克斯塔利的狡诈","zh-CN"
"Total Domination+","全面主宰＋","zh-CN"
"Time UNdilator","时间坍缩器","zh-CN"
"Void Circlet","虚空之环","zh-CN"
"Wild Growth","狂野生长","zh-CN"
"Artifact Expert: Lich Bane","神器专家：巫妖之祸","zh-CN"
"Darkwill's Invasion","达克威尔入侵","zh-CN"
"Ixtal Crest","以绪塔尔之徽","zh-CN"
"U.R.F","厨神阿福","zh-CN"
"Complete Collection","全套收藏","zh-CN"
"Artifact Expert: Luden's Tempest","神器专家：卢登的激荡","zh-CN"
"Poison Pals","绝命毒师","zh-CN"
"Walk The True Path I","行走于真实之道 I","zh-CN"
"Demacia Circlet","德玛西亚之环","zh-CN"
"Warden Crown","神盾使之冕","zh-CN"
"Defender Crown","护卫之冕","zh-CN"
"Bringer of Ruin","破灭使者","zh-CN"
"Bruiser Circlet","斗士之环","zh-CN"
"Void Crest","虚空之徽","zh-CN"
"Zaun Crown","祖安之冕","zh-CN"
"Vorpal Spikes","恐惧之刺","zh-CN"
"The Darkin Aegis","暗裔之盾","zh-CN"
"The Darkin Staff","暗裔之杖","zh-CN"
"The Trifarix","崔法利议会","zh-CN"
"Warden Circlet","神盾使之环","zh-CN"
"The Ruined King","破败之王","zh-CN"
"Artifact Expert: Manazane","神器专家：魔蕴","zh-CN"
"Gunslinger Crown","枪手之冠","zh-CN"
"Piltover Crest","皮尔特沃夫之徽","zh-CN"
"Yordle Crown","约德尔人之冕","zh-CN"
"Disruptor Circlet","耀光使之环","zh-CN"
"Spin to Win","旋转至胜","zh-CN"
"Longshot Crest","狙神之徽","zh-CN"
"Freljord Crest","弗雷尔卓德之徽","zh-CN"
"Earth Axiom","岩土公理","zh-CN"
"Piltover Circlet","皮尔特沃夫之环","zh-CN"
"Bruiser Crest","斗士之徽","zh-CN"
"Freljord Circlet","弗雷尔卓德之环","zh-CN"
"Artifact Expert: Zhonya's Paradox","神器专家：中娅悖论","zh-CN"
"Quickstriker Crest","迅击战士之徽","zh-CN"
"Keep Away","离我远点","zh-CN"
"Trials of Twilight","暮光试炼","zh-CN"
"Artifact Expert: Fishbones","神器专家：鱼骨头","zh-CN"
"Juggernaut Crown","主宰之冕","zh-CN"
"Vanquisher Crown","征服者之冕","zh-CN"
"Disruptor Crown","耀光使之冠","zh-CN"
"The Darkin Bow","暗裔之弓","zh-CN"
"Arcanist Crest","法师之徽","zh-CN"
"Artifact Expert: Deathfire Grasp","神器专家：冥火之拥","zh-CN"
"Ixtal Expeditionist","以绪塔尔探险家","zh-CN"
"Artifact Expert: Flickerblade","神器专家：纳沃利烁刃","zh-CN"
"Bilgewater Crest","比尔吉沃特之徽","zh-CN"
"Slayer Crest","裁决战士之徽","zh-CN"
"Defense of the Placidium","普雷西典保卫战","zh-CN"
"Artifact Expert: Hullbreaker","神器专家：破舰者","zh-CN"
"Ionia Crest","艾欧���亚之徽","zh-CN"
"Defender Crest","护卫之徽","zh-CN"
"Yordle Circlet","约德尔人之环","zh-CN"
"Water Axiom","涌泉公理","zh-CN"
"Dragonguards","巨龙卫士","zh-CN"
"Artifact Expert: Blighting Jewel","神器专家：枯萎珠宝","zh-CN"
"Evolve and Overcome","进化，然后征服","zh-CN"
"Demacia Forever","德玛西亚万岁","zh-CN"
"Demacia Crown","德玛西亚之冕","zh-CN"
"Artifact Expert: The Indomitable","神器专家：顽强不屈","zh-CN"
"Total Domination","全面主宰","zh-CN"
"Longshot Circlet","狙神之环","zh-CN"
"Rocket Fist","飞爪铁拳","zh-CN"
"Air Axiom","气旋公理","zh-CN"
"Vanquisher Circlet","征服者之环","zh-CN"
"Artifact Expert: Innervating Locket","神器专家：激发之匣","zh-CN"
"Ixtal Crown","以绪塔尔之冕","zh-CN"
"Bandle Bounty II","班德尔奖金 II","zh-CN"
"Artifact Expert: Dawncore","神器专家：黎明核心","zh-CN"
"Vision","诺克斯伊狄的远谋","zh-CN"
"Wood Axiom","森罗公理","zh-CN"
"Fire Axiom","炽焰公理","zh-CN"
"Hero of the Placidium","普雷西典的英雄","zh-CN"
"Ixtal Circlet","以绪塔尔之环","zh-CN"
"Zaun Crest","祖安之徽","zh-CN"
"Invoker Crest","神谕者之徽","zh-CN"
"Juggernaut Circlet","主宰之环","zh-CN"
"Freljord Crown","弗雷尔卓德之冕","zh-CN"
"Vanquisher Crest","征服者之徽","zh-CN"
"Artifact Expert: Prowler's Claw","神器专家：暗行者之爪","zh-CN"
"Shadow Dash","奥义！影缚","zh-CN"
"Arcanist Crown","法师之冕","zh-CN"
"Slayer Circlet","裁决战士之环","zh-CN"
"Artifact Expert: Titanic Hydra","神器专家：巨型九头蛇","zh-CN"
"Ionia Circlet","艾欧尼亚之环","zh-CN"
"Noxus Crown","诺克萨斯之冕","zh-CN"
"Walk The True Path II","行走于真实之道 II","zh-CN"
"Artifact Expert: Spectral Cutlass","神器专家：幽魂弯刀","zh-CN"
"Silco's Revenge","希尔科的复仇","zh-CN"
"The World Runes","世界符文","zh-CN"
