source,target,tgt_lng
"バリエーション","变阵","zh-CN"
"変体","变阵","zh-CN"
"パワーアップ","强化果实","zh-CN"
"オーグメント","强化符文","zh-CN"
"推奨アイテム・パワーアップ","推荐装备・强化果实","zh-CN"
"推奨オーグメント","推荐强化符文","zh-CN"
"巨体","巨像","zh-CN"
"プレイ条件","前置条件","zh-CN"
"スローロール","慢D牌","zh-CN"
"リロール","快速D牌","zh-CN"
"沸きあがる混沌","混沌渐起","zh-CN"
"完成形","最终阵容","zh-CN"
"序盤","前期","zh-CN"
"重なった","升星","zh-CN"
"重なったユニット","升星单位","zh-CN"
"中盤","中期","zh-CN"
"終盤","后期","zh-CN"
"構成","阵容","zh-CN"
"体力","生命值","zh-CN"
"金策","黑市","zh-CN"
"最大体力","最大生命值","zh-CN"
"物理防御","护甲","zh-CN"
"魔法防御","魔法抗性","zh-CN"
"耐久力","伤害减免","zh-CN"
"完成アイテム","合成装备","zh-CN"
"素材","散件","zh-CN"
"紋章","纹章","zh-CN"
"へら","金铲铲","zh-CN"
"フライパン","金锅锅","zh-CN"
"タンク","坦克","zh-CN"
"ファイター","战士","zh-CN"
"キャスター","术师","zh-CN"
"アサシン","刺客","zh-CN"
"マークスマン","射手","zh-CN"
"スペシャリスト","专家","zh-CN"
"AFK","开摆","zh-CN"
"日本語","中国語","zh-CN"
"生涯ブロンズ","终身黄铜","zh-CN"
"トライフェクタ","三项赛","zh-CN"
"スレイヤー","裁决战士","zh-CN"
"大砲の雨","大炮火力网","zh-CN"
"混沌の魔法","混沌魔法","zh-CN"
"バンドルバウンティー I","班德尔奖金 I","zh-CN"
"スレイヤーのクラウン","裁决战士之冕","zh-CN"
"アイオニアのクラウン","艾欧尼亚之冕","zh-CN"
"ダーキンの大鎌","暗裔之镰","zh-CN"
"ビルジウォーターのクラウン","比尔吉沃特之冕","zh-CN"
"山頂を目指せ","攀登巨峰","zh-CN"
"ディフェンダーのサークレット","护卫之环","zh-CN"
"鋼からの解放","解封魔武","zh-CN"
"ゾウンのサークレット","祖安之环","zh-CN"
"策略","诺克斯塔利的狡诈","zh-CN"
"完全支配+","全面主宰＋","zh-CN"
"タイム アンジュレーター","时间坍缩器","zh-CN"
"ヴォイドのサークレット","虚空之环","zh-CN"
"おおきくなぁれ！","狂野生长","zh-CN"
"アーティファクトの専門家: リッチ ベイン","神器专家：巫妖之祸","zh-CN"
"ダークウィルの侵略","达克威尔入侵","zh-CN"
"イシュタルのクレスト","以绪塔尔之徽","zh-CN"
"U.R.F.","厨神阿福","zh-CN"
"コンプリートコレクション","全套收藏","zh-CN"
